Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Format,Category,Type
CJ Boyce (AUS),2014-2016,7,2,1,4.0,3,4.0,7,57.14,0,0,0,0,0,T20,Batting,Batting
PR Brown (ENG),2019-2019,4,1,1,4.0,4*,0.0,9,44.44,0,0,0,0,0,T20,Batting,Batting
NM Carter (SCOT),2013-2013,7,2,0,4.0,3,2.0,12,33.33,0,0,0,0,0,T20,Batting,Batting
YS Chahal (INDIA),2016-2019,36,3,2,4.0,3*,4.0,9,44.44,0,0,0,0,0,T20,Batting,Batting
PC Connell (IRE),2008-2010,9,3,2,4.0,3*,4.0,7,57.14,0,0,1,0,0,T20,Batting,Batting
PA Desai (CAN),2012-2012,1,1,1,4.0,4*,0.0,7,57.14,0,0,0,0,0,T20,Batting,Batting
AB Dursak (TKY),2019-2019,4,4,0,4.0,3,1.0,24,16.66,0,0,2,0,0,T20,Batting,Batting
C Emmott (Chile),2019-2019,2,2,0,4.0,4,2.0,11,36.36,0,0,1,0,0,T20,Batting,Batting
Farhan Ahmed (UAE),2016-2016,3,1,0,4.0,4,4.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
K Gore (USA),2019-2019,4,1,1,4.0,4*,0.0,3,133.33,0,0,0,0,0,T20,Batting,Batting
Ibrahim Rizan (Mald),2019-2019,5,3,1,4.0,3,2.0,14,28.57,0,0,0,0,0,T20,Batting,Batting
Imran Haider (UAE),2016-2019,11,2,2,4.0,4*,0.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
H Ivanov (),2019-2019,3,1,0,4.0,4,4.0,6,66.66,0,0,0,0,0,T20,Batting,Batting
A Karn (NEPAL),2015-2015,2,1,0,4.0,4,4.0,7,57.14,0,0,0,0,0,T20,Batting,Batting
MF Koc (TKY),2019-2019,2,2,1,4.0,4*,4.0,15,26.66,0,0,1,0,0,T20,Batting,Batting
CBRLS Kumara (SL),2019-2019,3,1,0,4.0,4,4.0,2,200.0,0,0,0,1,0,T20,Batting,Batting
CK Langeveldt (SA),2005-2010,9,3,2,4.0,2*,4.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
NM Lyon (AUS),2016-2018,2,1,1,4.0,4*,0.0,4,100.0,0,0,0,0,0,T20,Batting,Batting
RT Lyons (SCOT),2010-2010,2,2,0,4.0,4,2.0,17,23.52,0,0,1,0,0,T20,Batting,Batting
GE Mathurin (WI),2011-2012,3,2,2,4.0,3*,0.0,5,80.0,0,0,0,0,0,T20,Batting,Batting
Mohammad Irfan (PAK),2012-2019,22,4,4,4.0,2*,0.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
Mohammad Tauqir (UAE),2015-2015,3,2,1,4.0,4,4.0,6,66.66,0,0,0,1,0,T20,Batting,Batting
Muhammad Khurram (MWI),2019-2019,5,3,0,4.0,3,1.33,20,20.0,0,0,1,0,0,T20,Batting,Batting
Muhammad Rafique (BAH),2019-2019,2,1,0,4.0,4,4.0,5,80.0,0,0,0,0,0,T20,Batting,Batting
JM Muirhead (AUS),2014-2014,5,2,1,4.0,3,4.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
Nazmus Sadat (BDESH),2006-2006,1,1,0,4.0,4,4.0,3,133.33,0,0,0,0,0,T20,Batting,Batting
JO Ngoche (KENYA),2012-2013,7,3,1,4.0,2,2.0,17,23.52,0,0,0,0,0,T20,Batting,Batting
Pavandeep Singh (MAL),2019-2019,10,4,3,4.0,2*,4.0,7,57.14,0,0,0,0,0,T20,Batting,Batting
Qasim Zia (BAH),2019-2019,3,1,1,4.0,4*,0.0,1,400.0,0,0,0,1,0,T20,Batting,Batting
NJ Reardon (AUS),2014-2014,2,1,0,4.0,4,4.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
CB Sole (SCOT),2017-2018,4,1,1,4.0,4*,0.0,2,200.0,0,0,0,1,0,T20,Batting,Batting
CR Suryawanshi (SGP),2019-2019,3,2,0,4.0,4,2.0,6,66.66,0,0,1,0,0,T20,Batting,Batting
K Suttisan (THAI),2019-2019,2,2,0,4.0,4,2.0,5,80.0,0,0,1,1,0,T20,Batting,Batting
SP Terry (IRE),2016-2016,1,1,0,4.0,4,4.0,6,66.66,0,0,0,0,0,T20,Batting,Batting
T Thushara (SL),2008-2010,6,2,0,4.0,3,2.0,8,50.0,0,0,0,0,0,T20,Batting,Batting
T Tshose (Botsw),2019-2019,2,2,2,4.0,4*,0.0,6,66.66,0,0,0,0,0,T20,Batting,Batting
T Ulutuna (TKY),2019-2019,3,3,0,4.0,4,1.33,9,44.44,0,0,2,1,0,T20,Batting,Batting
S Vashisht (ROM),2019-2019,3,1,0,4.0,4,4.0,6,66.66,0,0,0,1,0,T20,Batting,Batting
Abu Jayed (BDESH),2018-2018,3,2,0,3.0,2,1.5,7,42.85,0,0,0,0,0,T20,Batting,Batting
GJ Agius (MALTA),2019-2019,2,2,0,3.0,3,1.5,15,20.0,0,0,1,0,0,T20,Batting,Batting
Amir Hayat (UAE),2018-2019,4,2,0,3.0,3,1.5,6,50.0,0,0,1,0,0,T20,Batting,Batting
Amjad Mahboob (SGP),2019-2019,11,5,1,3.0,1*,0.75,14,21.42,0,0,2,0,0,T20,Batting,Batting
A Aspiotis (),2019-2019,3,1,1,3.0,3*,0.0,4,75.0,0,0,0,0,0,T20,Batting,Batting
MC Bascombe (WI),2011-2011,1,1,0,3.0,3,3.0,7,42.85,0,0,0,0,0,T20,Batting,Batting
P Bhart (NOR),2019-2019,5,3,2,3.0,2*,3.0,17,17.64,0,0,1,0,0,T20,Batting,Batting
S Byrne (MALTA),2019-2019,2,2,0,3.0,3,1.5,9,33.33,0,0,1,0,0,T20,Batting,Batting
CL Cairns (NZ),2005-2006,2,2,0,3.0,2,1.5,13,23.07,0,0,0,0,0,T20,Batting,Batting
D de la Puente (Peru),2019-2019,2,2,1,3.0,2*,3.0,7,42.85,0,0,0,0,0,T20,Batting,Batting
ST de Silva (SL),2017-2017,3,2,0,3.0,3,1.5,7,42.85,0,0,1,0,0,T20,Batting,Batting
Fahad Ali (),2019-2019,3,3,0,3.0,2,1.0,14,21.42,0,0,1,0,0,T20,Batting,Batting
Fawad Ahmed (AUS),2013-2013,2,1,1,3.0,3*,0.0,5,60.0,0,0,0,0,0,T20,Batting,Batting
Fida Hussain (ITA),2019-2019,2,1,1,3.0,3*,0.0,4,75.0,0,0,0,0,0,T20,Batting,Batting
WT Gavera (PNG),2015-2017,6,2,0,3.0,2,1.5,6,50.0,0,0,0,0,0,T20,Batting,Batting
JOA Gordon (CAN),2013-2019,7,2,2,3.0,2*,0.0,6,50.0,0,0,0,0,0,T20,Batting,Batting
AM Guruge (UAE),2014-2015,5,3,2,3.0,1*,3.0,8,37.5,0,0,0,0,0,T20,Batting,Batting
Ibrahim Nashath (Mald),2019-2019,3,2,1,3.0,3*,3.0,5,60.0,0,0,1,0,0,T20,Batting,Batting
Javed Maroofkhail (NOR),2019-2019,2,1,0,3.0,3,3.0,8,37.5,0,0,0,0,0,T20,Batting,Batting
Junaid Khan (PAK),2011-2014,9,2,2,3.0,3*,0.0,4,75.0,0,0,0,0,0,T20,Batting,Batting
MS Kasprowicz (AUS),2005-2005,2,1,1,3.0,3*,0.0,5,60.0,0,0,0,0,0,T20,Batting,Batting
GJP Kruger (SA),2006-2006,1,1,0,3.0,3,3.0,5,60.0,0,0,0,0,0,T20,Batting,Batting
Mahmad Data (PNM),2019-2019,2,1,0,3.0,3,3.0,5,60.0,0,0,0,0,0,T20,Batting,Batting
Nazmul Hossain (BDESH),2009-2012,4,2,2,3.0,3*,0.0,15,20.0,0,0,0,0,0,T20,Batting,Batting
R Olipa (UGA),2019-2019,2,1,0,3.0,3,3.0,4,75.0,0,0,0,0,0,T20,Batting,Batting
M Patel (PNM),2019-2019,2,1,1,3.0,3*,0.0,6,50.0,0,0,0,0,0,T20,Batting,Batting
LN Rajbanshi (NEPAL),2018-2019,12,2,1,3.0,3,3.0,7,42.85,0,0,0,0,0,T20,Batting,Batting
KAJ Roach (WI),2008-2012,11,1,1,3.0,3*,0.0,2,150.0,0,0,0,0,0,T20,Batting,Batting
MM Sharma (INDIA),2014-2015,8,2,2,3.0,3*,0.0,7,42.85,0,0,0,0,0,T20,Batting,Batting
LA Simango (Moz),2019-2019,3,2,1,3.0,2,3.0,4,75.0,0,0,0,0,0,T20,Batting,Batting
RP Singh (INDIA),2007-2009,10,2,2,3.0,2*,0.0,3,100.0,0,0,0,0,0,T20,Batting,Batting
MJ Swepson (AUS),2018-2018,1,1,1,3.0,3*,0.0,4,75.0,0,0,0,0,0,T20,Batting,Batting
Tauqeer Hussain (ESP),2019-2019,4,1,1,3.0,3*,0.0,3,100.0,0,0,0,0,0,T20,Batting,Batting
R Ulutuna (TKY),2019-2019,4,4,0,3.0,1,0.75,16,18.75,0,0,1,0,0,T20,Batting,Batting
SMK Waththage (CZK-R),2019-2019,5,1,0,3.0,3,3.0,5,60.0,0,0,0,0,0,T20,Batting,Batting
Zahid Hussain (CAN),2012-2012,3,2,2,3.0,2*,0.0,8,37.5,0,0,0,0,0,T20,Batting,Batting
Abdullah Mahmood (DEN),2019-2019,1,1,0,2.0,2,2.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
AG Achar (SGP),2019-2019,3,2,2,2.0,2*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
N Advani (GIBR),2019-2019,1,1,0,2.0,2,2.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
Aftab Alam (AFG),2012-2018,12,5,3,2.0,1*,1.0,9,22.22,0,0,1,0,0,T20,Batting,Batting
Areeb Quadir (Fin),2019-2019,2,1,0,2.0,2,2.0,12,16.66,0,0,0,0,0,T20,Batting,Batting
Arshad Hayat (CZK-R),2019-2019,6,2,0,2.0,2,1.0,7,28.57,0,0,1,0,0,T20,Batting,Batting
KMC Bandara (SL),2016-2016,1,1,1,2.0,2*,0.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
Bashir Shah (DEN),2019-2019,4,2,2,2.0,1*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
A Bhattarai (NEPAL),2014-2014,1,1,0,2.0,2,2.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
JP Bray (IRE),2009-2009,2,2,0,2.0,2,1.0,17,11.76,0,0,1,0,0,T20,Batting,Batting
GB Brent (ZIM),2006-2007,3,1,0,2.0,2,2.0,5,40.0,0,0,0,0,0,T20,Batting,Batting
P Buccimazza (PORT),2019-2019,4,2,0,2.0,1,1.0,13,15.38,0,0,0,0,0,T20,Batting,Batting
A Carthew (Chile),2019-2019,4,1,1,2.0,2*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
S Chophel (BHU),2019-2019,1,1,1,2.0,2*,0.0,5,40.0,0,0,0,0,0,T20,Batting,Batting
H Dajc (Serb),2019-2019,2,2,1,2.0,2*,2.0,3,66.66,0,0,1,0,0,T20,Batting,Batting
Dawlat Ahmadzai (AFG),2010-2010,2,1,1,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
MVT Fernando (SL),2017-2017,1,1,0,2.0,2,2.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
C Fry (LUX),2019-2019,3,1,0,2.0,2,2.0,6,33.33,0,0,0,0,0,T20,Batting,Batting
BD Glover (NL),2019-2019,19,4,3,2.0,1*,2.0,8,25.0,0,0,1,0,0,T20,Batting,Batting
Jandu Hamoud (KUW),2019-2019,6,1,0,2.0,2,2.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
RJ Harris (AUS),2010-2010,3,1,1,2.0,2*,0.0,1,200.0,0,0,0,0,0,T20,Batting,Batting
BW Hilfenhaus (AUS),2007-2012,7,3,1,2.0,2,1.0,10,20.0,0,0,1,0,0,T20,Batting,Batting
A Husain (Arg),2019-2019,5,1,1,2.0,2*,0.0,1,200.0,0,0,0,0,0,T20,Batting,Batting
Ilyas Ahmed (KUW),2019-2019,6,3,2,2.0,1*,2.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
AJ Ireland (ZIM),2006-2006,1,1,1,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
S Kansoy (TKY),2019-2019,4,4,0,2.0,2,0.5,7,28.57,0,0,3,0,0,T20,Batting,Batting
A Khan (ENG),2009-2009,1,1,0,2.0,2,2.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
RJ Kirtley (ENG),2007-2007,1,1,1,2.0,2*,0.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
I Lisboa (Chile),2019-2019,1,1,0,2.0,2,2.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
J Long (PHI),2019-2019,2,1,1,2.0,2*,0.0,6,33.33,0,0,0,0,0,T20,Batting,Batting
T Lungameni (NAM),2019-2019,6,1,1,2.0,2*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
MJ Mason (NZ),2006-2008,3,1,0,2.0,2,2.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
Muslim Yar (GER),2019-2019,7,1,0,2.0,2,2.0,6,33.33,0,0,0,0,0,T20,Batting,Batting
S Nadigotla (ROM),2019-2019,2,1,0,2.0,2,2.0,6,33.33,0,0,0,0,0,T20,Batting,Batting
Najeeb Amar (HKG),2014-2014,1,1,0,2.0,2,2.0,9,22.22,0,0,0,0,0,T20,Batting,Batting
W Nalisa (VAN),2019-2019,9,3,2,2.0,1*,2.0,4,50.0,0,0,1,0,0,T20,Batting,Batting
Nazwan Ismail (Mald),2019-2019,3,1,1,2.0,2*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
A Ndlovu (ZIM),2019-2019,3,1,0,2.0,2,2.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
K Nima (BHU),2019-2019,1,1,1,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
Noman Kamawi (Belg),2019-2019,1,1,0,2.0,2,2.0,7,28.57,0,0,0,0,0,T20,Batting,Batting
L Nou (PNG),2015-2015,3,1,1,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
S Saeed (Mald),2019-2019,5,1,0,2.0,2,2.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
Saqlain Ali (Belg),2019-2019,2,1,0,2.0,2,2.0,6,33.33,0,0,0,0,0,T20,Batting,Batting
Shoaib Gazi Hossain (Chile),2019-2019,4,1,0,2.0,2,2.0,5,40.0,0,0,0,0,0,T20,Batting,Batting
Suhrid Roy (MALTA),2019-2019,1,1,1,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
A Tripathi (Mex),2019-2019,3,2,2,2.0,1*,0.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
LL Tsotsobe (SA),2009-2014,23,3,2,2.0,1*,2.0,10,20.0,0,0,0,0,0,T20,Batting,Batting
Usman Shinwari (PAK),2013-2019,16,3,3,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
S Vijayakumar (SGP),2019-2019,9,2,0,2.0,1,1.0,5,40.0,0,0,0,0,0,T20,Batting,Batting
R Vinay Kumar (INDIA),2010-2013,9,1,1,2.0,2*,0.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
Waqar Khan (Peru),2019-2019,4,2,1,2.0,2*,2.0,3,66.66,0,0,1,0,0,T20,Batting,Batting
Waqas Raja (Fin),2019-2019,1,1,1,2.0,2*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
UWMBCA Welegedara (SL),2010-2010,2,1,1,2.0,2*,0.0,3,66.66,0,0,0,0,0,T20,Batting,Batting
BTJ Wheal (SCOT),2016-2017,5,2,2,2.0,2*,0.0,2,100.0,0,0,0,0,0,T20,Batting,Batting
UT Yadav (INDIA),2012-2019,7,1,0,2.0,2,2.0,4,50.0,0,0,0,0,0,T20,Batting,Batting
Zaheer Maqsood (UAE),2015-2016,3,1,0,2.0,2,2.0,5,40.0,0,0,0,0,0,T20,Batting,Batting
Z Abbasi (Botsw),2019-2019,1,1,0,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
KK Ahmed (INDIA),2018-2019,14,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
J Allen (),2019-2019,2,2,1,1.0,1*,1.0,4,25.0,0,0,1,0,0,T20,Batting,Batting
HS Alta (TKY),2019-2019,4,4,1,1.0,1*,0.33,10,10.0,0,0,3,0,0,T20,Batting,Batting
JM Anderson (ENG),2007-2009,19,4,3,1.0,1*,1.0,2,50.0,0,0,1,0,0,T20,Batting,Batting
B Angeltti (Arg),2019-2019,3,1,0,1.0,1,1.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
V Ateak (Ghana),2019-2019,4,1,1,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
Awais Malik (QAT),2019-2019,11,4,0,1.0,1,0.25,4,25.0,0,0,3,0,0,T20,Batting,Batting
Babar Ali (BAH),2019-2019,3,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
DE Bernard (WI),2009-2009,1,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
S Bhari (NEPAL),2019-2019,6,3,2,1.0,1*,1.0,5,20.0,0,0,1,0,0,T20,Batting,Batting
DE Bollinger (AUS),2011-2014,9,2,2,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
DR Brown (SCOT),2007-2007,2,1,0,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
N Buckle (GUE),2019-2019,3,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
DL Chahar (INDIA),2018-2019,10,2,2,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
R Dhawan (INDIA),2016-2016,1,1,1,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
Dhiman Ghosh (BDESH),2008-2008,1,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
HH Dippenaar (SA),2006-2006,1,1,0,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
B Dugic (Serb),2019-2019,2,1,0,1.0,1,1.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
GDR Eranga (CAN),2019-2019,9,1,0,1.0,1,1.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
AC Evans (SCOT),2015-2019,27,6,1,1.0,1*,0.2,10,10.0,0,0,5,0,0,T20,Batting,Batting
LH Ferguson (NZ),2017-2019,8,1,0,1.0,1,1.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
P Florin (ROM),2019-2019,4,2,1,1.0,1*,1.0,1,100.0,0,0,1,0,0,T20,Batting,Batting
MD Garratt (GIBR),2019-2019,4,2,1,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
A Gavde (Caym),2019-2019,1,1,0,1.0,1,1.0,6,16.66,0,0,0,0,0,T20,Batting,Batting
O Goker (TKY),2019-2019,1,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
Hashmatullah Shahidi (AFG),2013-2013,1,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
GM Hyde (Blz),2019-2019,3,1,0,1.0,1,1.0,6,16.66,0,0,0,0,0,T20,Batting,Batting
JS Jesani (KENYA),2007-2007,1,1,0,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
MBS Jonkman (NL),2010-2010,3,1,0,1.0,1,1.0,8,12.5,0,0,0,0,0,T20,Batting,Batting
B Khumalo (Botsw),2019-2019,3,1,0,1.0,1,1.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
GE Kidd (IRE),2010-2010,1,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
VJ Kingma (NL),2016-2019,4,2,1,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
DS Kulkarni (INDIA),2016-2016,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
A Lagos (),2019-2019,1,1,1,1.0,1*,0.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
J Lewis (ENG),2005-2007,2,2,1,1.0,1,1.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
J Louw (SA),2008-2009,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
R Mahajan (PHI),2019-2019,3,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
SI Mahmood (ENG),2006-2009,4,2,2,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
RD McCann (IRE),2012-2012,3,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
MR Montfort (CAN),2019-2019,1,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
Muhammed Shanil (UAE),2016-2016,1,1,1,1.0,1*,0.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
M Muralitharan (SL),2006-2010,12,2,0,1.0,1,0.5,5,20.0,0,0,1,0,0,T20,Batting,Batting
B Muzarabani (ZIM),2018-2018,6,3,2,1.0,1*,1.0,5,20.0,0,0,1,0,0,T20,Batting,Batting
M Nasim Baras (AFG),2015-2015,3,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
A Nathwani (Aut),2019-2019,5,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
R Neale (LUX),2019-2019,3,2,0,1.0,1,0.5,6,16.66,0,0,1,0,0,T20,Batting,Batting
ML Nkala (ZIM),2006-2006,1,1,0,1.0,1,1.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
MS Panesar (ENG),2007-2007,1,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
SD Parry (ENG),2014-2015,5,1,0,1.0,1,1.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
MDK Perera (SL),2011-2011,3,2,0,1.0,1,0.5,6,16.66,0,0,1,0,0,T20,Batting,Batting
DBL Powell (WI),2007-2007,5,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
EC Rainsford (ZIM),2010-2010,2,1,1,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
KB Ratilal (PNM),2019-2019,3,1,1,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
EB Ringera (KENYA),2019-2019,1,1,0,1.0,1,1.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
WJR Robertson (JER),2019-2019,6,2,2,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
BA Sambo (Moz),2019-2019,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
O Sam Arthur (CRC),2019-2019,3,2,1,1.0,1,1.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
Sandeep Sharma (INDIA),2015-2015,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
M Sarenac (Serb),2019-2019,2,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
Sayed Shirzad (AFG),2015-2019,4,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
ZK Shem (VAN),2019-2019,5,2,2,1.0,1*,0.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
PM Siddle (AUS),2009-2010,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
KM Silva (),2019-2019,3,2,0,1.0,1,0.5,6,16.66,0,0,1,0,0,T20,Batting,Batting
Sohail Khan (PAK),2008-2017,5,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
Sohrawordi Shuvo (BDESH),2010-2010,1,1,1,1.0,1*,0.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
AL Stephen (VAN),2019-2019,2,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
EP Thompson (NZ),2008-2008,1,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
RJW Topley (ENG),2015-2016,6,1,1,1.0,1*,0.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
TE Tucker (BMUDA),2008-2008,1,1,0,1.0,1,1.0,5,20.0,0,0,0,0,0,T20,Batting,Batting
T Turan (TKY),2019-2019,4,4,0,1.0,1,0.25,17,5.88,0,0,3,0,0,T20,Batting,Batting
R van der Merwe (Arg),2019-2019,5,2,2,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
I Wardlaw (SCOT),2013-2013,4,1,0,1.0,1,1.0,3,33.33,0,0,0,0,0,T20,Batting,Batting
Wasim Ali (OMAN),2019-2019,1,1,0,1.0,1,1.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
G Wijekoon (SL),2007-2007,3,2,1,1.0,1*,1.0,5,20.0,0,0,1,0,0,T20,Batting,Batting
JD Wildermuth (AUS),2018-2018,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
Yamin Ahmadzai (AFG),2015-2015,2,1,1,1.0,1*,0.0,1,100.0,0,0,0,0,0,T20,Batting,Batting
Zaki Ul Hassan (Belg),2019-2019,3,1,0,1.0,1,1.0,2,50.0,0,0,0,0,0,T20,Batting,Batting
Zeeshan Abbas (BAH),2019-2019,1,1,0,1.0,1,1.0,4,25.0,0,0,0,0,0,T20,Batting,Batting
Abdul Shakoor (ROM),2019-2019,2,1,0,0.0,0,0.0,3,0.0,0,0,1,0,0,T20,Batting,Batting
AS Abioye (NGA),2019-2019,5,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
Aizaz Cheema (PAK),2011-2012,5,1,1,0.0,0*,0.0,3,0.0,0,0,0,0,0,T20,Batting,Batting
C Akyuz (TKY),2019-2019,2,2,0,0.0,0,0.0,3,0.0,0,0,2,0,0,T20,Batting,Batting
Ali Naqi (PORT),2019-2019,4,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
MA Aponso (SL),2018-2018,3,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
S Arachchige (ITA),2019-2019,4,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
Ashiqullah Said (Belg),2019-2019,3,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
SK Atai (PNG),2019-2019,2,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
MS Aulakh (CAN),2012-2013,3,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
CT Bancroft (AUS),2016-2016,1,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
M Bhanuka (SL),2019-2019,2,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
IDR Bradshaw (WI),2006-2006,1,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
DR Briggs (ENG),2012-2014,7,1,1,0.0,0*,0.0,0,0.0,0,0,0,0,0,T20,Batting,Batting
AF Buurman (NL),2010-2010,4,2,0,0.0,0,0.0,4,0.0,0,0,2,0,0,T20,Batting,Batting
PP Chawla (INDIA),2010-2012,7,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
DO Christian (WI),2011-2011,2,1,0,0.0,0,0.0,2,0.0,0,0,1,0,0,T20,Batting,Batting
I Civric (Serb),2019-2019,1,1,0,0.0,0,0.0,1,0.0,0,0,1,0,0,T20,Batting,Batting
