Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Format,Category,Type
PD Collingwood (ENG),2001-2011,197,151,5186,4294,111.0,6/31,38.68,4.96,46.7,3,1,ODI,Bowling,Bowling
Mudassar Nazar (PAK),1977-1989,122,104,4855,3432,111.0,5/28,30.91,4.24,43.7,1,1,ODI,Bowling,Bowling
Yuvraj Singh (Asia/INDIA),2000-2017,304,161,5048,4294,111.0,5/31,38.68,5.1,45.4,2,1,ODI,Bowling,Bowling
Junaid Khan (PAK),2011-2019,76,76,3601,3216,110.0,4/12,29.23,5.35,32.7,4,0,ODI,Bowling,Bowling
Naved-ul-Hasan (PAK),2003-2010,74,72,3466,3221,110.0,6/27,29.28,5.57,31.5,6,1,ODI,Bowling,Bowling
DR Tuffey (NZ),2000-2010,94,92,4333,3534,110.0,4/24,32.12,4.89,39.3,2,0,ODI,Bowling,Bowling
TT Bresnan (ENG),2006-2015,85,84,4221,3813,109.0,5/48,34.98,5.42,38.7,3,1,ODI,Bowling,Bowling
GP Wickramasinghe (SL),1990-2002,134,132,5720,4321,109.0,4/48,39.64,4.53,52.4,1,0,ODI,Bowling,Bowling
SP O'Donnell (AUS),1985-1991,87,87,4350,3102,108.0,5/13,28.72,4.27,40.2,5,1,ODI,Bowling,Bowling
DNT Zoysa (SL),1997-2007,95,93,4259,3213,108.0,5/26,29.75,4.52,39.4,2,1,ODI,Bowling,Bowling
RAS Lakmal (SL),2009-2019,85,83,3824,3478,107.0,4/13,32.5,5.45,35.7,3,0,ODI,Bowling,Bowling
Mustafizur Rahman (BDESH),2015-2019,56,55,2813,2458,107.0,6/43,22.97,5.24,26.2,3,5,ODI,Bowling,Bowling
PA de Silva (SL),1984-2003,308,156,5148,4177,106.0,4/30,39.4,4.86,48.5,2,0,ODI,Bowling,Bowling
TM Dilshan (SL),1999-2016,330,204,5880,4778,106.0,4/4,45.07,4.87,55.4,3,0,ODI,Bowling,Bowling
A Nel (SA),2001-2008,79,76,3801,2935,106.0,5/45,27.68,4.63,35.8,3,1,ODI,Bowling,Bowling
PR Reiffel (AUS),1992-1999,92,92,4732,3096,106.0,4/13,29.2,3.92,44.6,5,0,ODI,Bowling,Bowling
UT Yadav (INDIA),2010-2018,75,73,3558,3565,106.0,4/31,33.63,6.01,33.5,4,0,ODI,Bowling,Bowling
GW Flower (ZIM),1992-2010,221,156,5462,4225,104.0,4/32,40.62,4.64,52.5,2,0,ODI,Bowling,Bowling
WB Rankin (ENG/IRE),2007-2019,73,71,3600,2893,104.0,4/15,27.81,4.82,34.6,4,0,ODI,Bowling,Bowling
GP Swann (ENG),2000-2013,79,76,3809,2888,104.0,5/28,27.76,4.54,36.6,3,1,ODI,Bowling,Bowling
JJ Bumrah (INDIA),2016-2019,58,58,3009,2254,103.0,5/27,21.88,4.49,29.2,5,1,ODI,Bowling,Bowling
DK Lillee (AUS),1972-1983,63,63,3593,2145,103.0,5/34,20.82,3.58,34.8,5,1,ODI,Bowling,Bowling
C Pringle (NZ),1990-1995,64,64,3314,2459,103.0,5/45,23.87,4.45,32.1,2,1,ODI,Bowling,Bowling
ST Finn (ENG),2011-2017,69,67,3550,2996,102.0,5/33,29.37,5.06,34.8,4,2,ODI,Bowling,Bowling
E Chigumbura (Afr/ZIM),2004-2018,213,132,4339,4274,101.0,4/28,42.31,5.91,42.9,1,0,ODI,Bowling,Bowling
