Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Format,Category,Type
D Ramnarine (WI),1997-2001,4,4,200,164,3.0,2/52,54.66,4.92,66.6,0,0,ODI,Bowling,Bowling
SK Ranasinghe (SL),1986-1986,4,4,126,96,3.0,1/28,32.0,4.57,42.0,0,0,ODI,Bowling,Bowling
AT Rayudu (INDIA),2013-2019,55,9,121,124,3.0,1/5,41.33,6.14,40.3,0,0,ODI,Bowling,Bowling
Sabbir Rahman (BDESH),2014-2019,66,21,306,345,3.0,1/12,115.0,6.76,102.0,0,0,ODI,Bowling,Bowling
Saleem Raza (UAE),1994-1996,6,6,192,179,3.0,1/17,59.66,5.59,64.0,0,0,ODI,Bowling,Bowling
GS Sandhu (AUS),2015-2015,2,2,120,107,3.0,2/49,35.66,5.35,40.0,0,0,ODI,Bowling,Bowling
Sarandeep Singh (INDIA),2002-2003,5,5,258,180,3.0,2/34,60.0,4.18,86.0,0,0,ODI,Bowling,Bowling
KF Semple (WI),1999-1999,7,4,132,121,3.0,2/35,40.33,5.5,44.0,0,0,ODI,Bowling,Bowling
Shahid Saeed (PAK),1989-1993,10,7,222,159,3.0,2/20,53.0,4.29,74.0,0,0,ODI,Bowling,Bowling
R Shepherd (WI),2019-2019,3,3,110,101,3.0,2/32,33.66,5.5,36.6,0,0,ODI,Bowling,Bowling
L Siaka (PNG),2014-2019,25,11,204,146,3.0,2/33,48.66,4.29,68.0,0,0,ODI,Bowling,Bowling
V Sibanda (Afr/ZIM),2003-2016,127,11,267,265,3.0,1/12,88.33,5.95,89.0,0,0,ODI,Bowling,Bowling
D Soraine (CAN),2006-2012,4,3,113,94,3.0,2/57,31.33,4.99,37.6,0,0,ODI,Bowling,Bowling
KR Stackpole (AUS),1971-1974,6,2,77,54,3.0,3/40,18.0,4.2,25.6,0,0,ODI,Bowling,Bowling
LW Stott (NZ),1979-1979,1,1,72,48,3.0,3/48,16.0,4.0,24.0,0,0,ODI,Bowling,Bowling
GP Sulzberger (NZ),2000-2000,3,3,132,102,3.0,1/28,34.0,4.63,44.0,0,0,ODI,Bowling,Bowling
MR Swart (NL),2011-2014,12,11,366,306,3.0,1/21,102.0,5.01,122.0,0,0,ODI,Bowling,Bowling
AR Tait (NZ),1998-1999,5,5,120,88,3.0,2/37,29.33,4.4,40.0,0,0,ODI,Bowling,Bowling
HDRL Thirimanne (SL),2010-2019,127,4,104,94,3.0,2/36,31.33,5.42,34.6,0,0,ODI,Bowling,Bowling
JG Thomas (ENG),1986-1987,3,3,156,144,3.0,2/59,48.0,5.53,52.0,0,0,ODI,Bowling,Bowling
FJ Titmus (ENG),1975-1975,2,1,56,53,3.0,3/53,17.66,5.67,18.6,0,0,ODI,Bowling,Bowling
MS Tshabalala (SA),2007-2007,4,4,150,151,3.0,1/30,50.33,6.04,50.0,0,0,ODI,Bowling,Bowling
S Tyagi (INDIA),2009-2010,4,4,165,144,3.0,1/15,48.0,5.23,55.0,0,0,ODI,Bowling,Bowling
JN Valentine (CAN),1979-1979,3,3,114,66,3.0,1/18,22.0,3.47,38.0,0,0,ODI,Bowling,Bowling
Wajahatullah Wasti (PAK),1999-2000,15,3,55,69,3.0,3/36,23.0,7.52,18.3,0,0,ODI,Bowling,Bowling
LJ Woodcock (NZ),2011-2011,4,4,164,155,3.0,2/58,51.66,5.67,54.6,0,0,ODI,Bowling,Bowling
HN Ya France (NAM),2019-2019,4,4,138,96,3.0,2/31,32.0,4.17,46.0,0,0,ODI,Bowling,Bowling
GN Yallop (AUS),1978-1984,30,4,138,119,3.0,2/28,39.66,5.17,46.0,0,0,ODI,Bowling,Bowling
Younis Khan (PAK),2000-2015,265,20,284,288,3.0,1/3,96.0,6.08,94.6,0,0,ODI,Bowling,Bowling
Zafar Iqbal (PAK),1995-1995,8,7,198,137,3.0,2/37,45.66,4.15,66.0,0,0,ODI,Bowling,Bowling
Zahid Ahmed (PAK),1987-1987,2,2,96,61,3.0,2/24,20.33,3.81,32.0,0,0,ODI,Bowling,Bowling
Aamer Yamin (PAK),2015-2018,4,4,156,154,2.0,1/38,77.0,5.92,78.0,0,0,ODI,Bowling,Bowling
Aamir Kaleem (OMAN),2019-2019,2,2,77,54,2.0,2/30,27.0,4.2,38.5,0,0,ODI,Bowling,Bowling
Abdullah Mazari (AFG),2010-2010,2,2,96,49,2.0,1/18,24.5,3.06,48.0,0,0,ODI,Bowling,Bowling
Ahmed Shehzad (PAK),2009-2017,81,9,115,140,2.0,1/22,70.0,7.3,57.5,0,0,ODI,Bowling,Bowling
Ali Asad (UAE),2004-2004,2,2,120,73,2.0,2/35,36.5,3.65,60.0,0,0,ODI,Bowling,Bowling
DI Allan (KENYA),2011-2013,5,4,112,80,2.0,1/22,40.0,4.28,56.0,0,0,ODI,Bowling,Bowling
GJAF Aponso (NL),1996-1996,5,5,242,257,2.0,1/57,128.5,6.37,121.0,0,0,ODI,Bowling,Bowling
Asad Ali (PAK),2013-2013,4,4,180,115,2.0,1/22,57.5,3.83,90.0,0,0,ODI,Bowling,Bowling
SV Bahutule (INDIA),1997-2003,8,7,294,283,2.0,1/31,141.5,5.77,147.0,0,0,ODI,Bowling,Bowling
A Balbirnie (IRE),2010-2019,64,3,60,68,2.0,1/26,34.0,6.8,30.0,0,0,ODI,Bowling,Bowling
MRCN Bandaratilleke (SL),1998-1998,3,3,144,111,2.0,2/34,55.5,4.62,72.0,0,0,ODI,Bowling,Bowling
MD Bates (NZ),2012-2012,2,2,84,52,2.0,1/24,26.0,3.71,42.0,0,0,ODI,Bowling,Bowling
S Bau (PNG),2016-2019,21,6,180,124,2.0,2/35,62.0,4.13,90.0,0,0,ODI,Bowling,Bowling
LS Bhandari (NEPAL),2018-2018,1,1,54,43,2.0,2/43,21.5,4.77,27.0,0,0,ODI,Bowling,Bowling
DR Briggs (ENG),2012-2012,1,1,60,39,2.0,2/39,19.5,3.9,30.0,0,0,ODI,Bowling,Bowling
JE Brinkley (SCOT),1999-1999,5,3,168,117,2.0,1/29,58.5,4.17,84.0,0,0,ODI,Bowling,Bowling
BS Browne (WI),1994-1994,4,4,180,156,2.0,2/50,78.0,5.2,90.0,0,0,ODI,Bowling,Bowling
PH Carlson (AUS),1979-1979,4,3,168,70,2.0,1/21,35.0,2.5,84.0,0,0,ODI,Bowling,Bowling
DL Chahar (INDIA),2018-2019,3,3,126,129,2.0,1/37,64.5,6.14,63.0,0,0,ODI,Bowling,Bowling
IM Chappell (AUS),1971-1980,16,2,42,23,2.0,2/14,11.5,3.28,21.0,0,0,ODI,Bowling,Bowling
GA Cope (ENG),1977-1978,2,2,112,35,2.0,1/16,17.5,1.87,56.0,0,0,ODI,Bowling,Bowling
CS Cowdrey (ENG),1985-1985,3,2,52,55,2.0,1/3,27.5,6.34,26.0,0,0,ODI,Bowling,Bowling
DJ Cullen (AUS),2006-2006,5,5,213,147,2.0,2/25,73.5,4.14,106.5,0,0,ODI,Bowling,Bowling
SM Curran (ENG),2018-2018,2,2,72,90,2.0,2/44,45.0,7.5,36.0,0,0,ODI,Bowling,Bowling
DDP D'Silva (UAE),2019-2019,3,2,102,71,2.0,2/20,35.5,4.17,51.0,0,0,ODI,Bowling,Bowling
D Daesrath (CAN),2012-2013,4,2,72,48,2.0,1/13,24.0,4.0,36.0,0,0,ODI,Bowling,Bowling
RR David (CAN),2008-2010,4,4,96,74,2.0,2/30,37.0,4.62,48.0,0,0,ODI,Bowling,Bowling
DLS de Silva (SL),1979-1979,2,2,120,54,2.0,2/36,27.0,2.7,60.0,0,0,ODI,Bowling,Bowling
BR Dorey (AUS),2006-2006,4,4,162,146,2.0,1/12,73.0,5.4,81.0,0,0,ODI,Bowling,Bowling
F du Plessis (SA),2011-2019,143,11,192,189,2.0,1/8,94.5,5.9,96.0,0,0,ODI,Bowling,Bowling
CE Eksteen (SA),1991-1994,6,6,222,181,2.0,1/26,90.5,4.89,111.0,0,0,ODI,Bowling,Bowling
D Elgar (SA),2012-2018,8,4,96,67,2.0,1/11,33.5,4.18,48.0,0,0,ODI,Bowling,Bowling
KADM Fernando (SL),2003-2003,1,1,42,13,2.0,2/13,6.5,1.85,21.0,0,0,ODI,Bowling,Bowling
MLC Foster (WI),1973-1973,2,1,30,22,2.0,2/22,11.0,4.4,15.0,0,0,ODI,Bowling,Bowling
RC Fredericks (WI),1973-1977,12,1,10,10,2.0,2/10,5.0,6.0,5.0,0,0,ODI,Bowling,Bowling
D Gamage (SL),2003-2003,3,3,95,83,2.0,1/26,41.5,5.24,47.5,0,0,ODI,Bowling,Bowling
WCA Ganegama (SL),2001-2006,4,3,66,88,2.0,2/27,44.0,8.0,33.0,0,0,ODI,Bowling,Bowling
Gazi Ashraf (BDESH),1986-1990,7,3,51,33,2.0,1/7,16.5,3.88,25.5,0,0,ODI,Bowling,Bowling
LR Gibbs (WI),1973-1975,3,3,156,59,2.0,1/12,29.5,2.26,78.0,0,0,ODI,Bowling,Bowling
Golam Faruq (BDESH),1986-1990,5,5,186,116,2.0,1/22,58.0,3.74,93.0,0,0,ODI,Bowling,Bowling
MS Gony (INDIA),2008-2008,2,2,78,76,2.0,2/65,38.0,5.84,39.0,0,0,ODI,Bowling,Bowling
TR Gripper (ZIM),2001-2003,8,6,120,76,2.0,2/28,38.0,3.8,60.0,0,0,ODI,Bowling,Bowling
TGJ Gruijters (NL),2010-2013,5,4,120,79,2.0,2/37,39.5,3.95,60.0,0,0,ODI,Bowling,Bowling
Hammad Azam (PAK),2011-2015,11,8,198,169,2.0,1/21,84.5,5.12,99.0,0,0,ODI,Bowling,Bowling
SM Harwood (AUS),2009-2009,1,1,60,57,2.0,2/57,28.5,5.7,30.0,0,0,ODI,Bowling,Bowling
R Hekure (PNG),2019-2019,1,1,60,32,2.0,2/32,16.0,3.2,30.0,0,0,ODI,Bowling,Bowling
CC Henry (CAN),1979-1979,2,2,90,53,2.0,2/27,26.5,3.53,45.0,0,0,ODI,Bowling,Bowling
O Henry (SA),1992-1992,3,3,149,125,2.0,1/31,62.5,5.03,74.5,0,0,ODI,Bowling,Bowling
H Hiri (PNG),2016-2019,7,4,60,56,2.0,1/6,28.0,5.6,30.0,0,0,ODI,Bowling,Bowling
RG Holland (AUS),1985-1985,2,2,126,99,2.0,2/49,49.5,4.71,63.0,0,0,ODI,Bowling,Bowling
MEK Hussey (AUS),2004-2012,185,13,240,235,2.0,1/22,117.5,5.87,120.0,0,0,ODI,Bowling,Bowling
AP Igglesden (ENG),1994-1994,4,4,168,122,2.0,2/12,61.0,4.35,84.0,0,0,ODI,Bowling,Bowling
Irfan Bhatti (PAK),1993-1993,1,1,48,22,2.0,2/22,11.0,2.75,24.0,0,0,ODI,Bowling,Bowling
Jahangir Shah (BDESH),1986-1990,5,5,234,172,2.0,2/23,86.0,4.41,117.0,0,0,ODI,Bowling,Bowling
K Jethi (CAN),2008-2008,3,3,102,85,2.0,2/39,42.5,5.0,51.0,0,0,ODI,Bowling,Bowling
LWS Kaluperuma (SL),1975-1982,4,4,208,137,2.0,1/35,68.5,3.95,104.0,0,0,ODI,Bowling,Bowling
SHT Kandamby (SL),2004-2014,39,9,174,173,2.0,2/37,86.5,5.96,87.0,0,0,ODI,Bowling,Bowling
CK Kapugedera (SL),2006-2017,102,10,264,225,2.0,1/24,112.5,5.11,132.0,0,0,ODI,Bowling,Bowling
VJ Kingma (NL),2014-2019,3,3,126,107,2.0,1/47,53.5,5.09,63.0,0,0,ODI,Bowling,Bowling
DB Kotze (NAM),2003-2003,6,6,282,256,2.0,1/32,128.0,5.44,141.0,0,0,ODI,Bowling,Bowling
GJP Kruger (SA),2006-2006,3,3,138,139,2.0,1/43,69.5,6.04,69.0,0,0,ODI,Bowling,Bowling
NR Kumar (CAN),2010-2014,16,2,66,63,2.0,2/40,31.5,5.72,33.0,0,0,ODI,Bowling,Bowling
AV Lalcheta (OMAN),2019-2019,2,2,84,62,2.0,2/35,31.0,4.42,42.0,0,0,ODI,Bowling,Bowling
Liaqat Ali (PAK),1977-1978,3,3,188,111,2.0,1/41,55.5,3.54,94.0,0,0,ODI,Bowling,Bowling
J Louw (SA),2008-2008,3,3,156,148,2.0,1/45,74.0,5.69,78.0,0,0,ODI,Bowling,Bowling
GD McKenzie (AUS),1971-1971,1,1,60,22,2.0,2/22,11.0,2.2,30.0,0,0,ODI,Bowling,Bowling
Mansoor Akhtar (PAK),1980-1990,41,9,138,110,2.0,1/7,55.0,4.78,69.0,0,0,ODI,Bowling,Bowling
GC Martin (ZIM),1994-1995,5,4,132,95,2.0,1/15,47.5,4.31,66.0,0,0,ODI,Bowling,Bowling
SC Meaker (ENG),2011-2011,2,2,114,110,2.0,1/45,55.0,5.78,57.0,0,0,ODI,Bowling,Bowling
KP Meiyappan (UAE),2019-2019,2,2,108,78,2.0,2/39,39.0,4.33,54.0,0,0,ODI,Bowling,Bowling
Mohammed Qasim (UAE),2017-2017,5,3,120,71,2.0,1/13,35.5,3.55,60.0,0,0,ODI,Bowling,Bowling
Morshed Ali Khan (BDESH),1998-1998,3,3,138,85,2.0,1/26,42.5,3.69,69.0,0,0,ODI,Bowling,Bowling
PV Mpitsang (SA),1999-1999,2,2,60,63,2.0,2/49,31.5,6.3,30.0,0,0,ODI,Bowling,Bowling
J Mubarak (SL),2002-2013,40,8,129,95,2.0,1/10,47.5,4.41,64.5,0,0,ODI,Bowling,Bowling
SP Mukherjee (INDIA),1990-1991,3,3,174,98,2.0,1/30,49.0,3.37,87.0,0,0,ODI,Bowling,Bowling
MG Neser (AUS),2018-2018,2,2,100,120,2.0,2/46,60.0,7.2,50.0,0,0,ODI,Bowling,Bowling
IA Nicolson (ZIM),2010-2010,2,2,72,118,2.0,1/44,59.0,9.83,36.0,0,0,ODI,Bowling,Bowling
KJ O'Keeffe (AUS),1977-1977,2,2,132,79,2.0,1/36,39.5,3.59,66.0,0,0,ODI,Bowling,Bowling
DR O'Sullivan (NZ),1974-1976,3,3,168,123,2.0,1/38,61.5,4.39,84.0,0,0,ODI,Bowling,Bowling
Parvez Rasool (INDIA),2014-2014,1,1,60,60,2.0,2/60,30.0,6.0,30.0,0,0,ODI,Bowling,Bowling
RR Patel (KENYA),2008-2014,39,7,168,135,2.0,1/14,67.5,4.82,84.0,0,0,ODI,Bowling,Bowling
R Pathan (CAN),2013-2013,1,1,36,50,2.0,2/50,25.0,8.33,18.0,0,0,ODI,Bowling,Bowling
J Patraj (CAN),2007-2007,2,2,90,76,2.0,1/27,38.0,5.06,45.0,0,0,ODI,Bowling,Bowling
HSM Pieris (SL),1975-1975,3,3,132,135,2.0,2/68,67.5,6.13,66.0,0,0,ODI,Bowling,Bowling
NV Radford (ENG),1988-1988,6,6,348,230,2.0,1/32,115.0,3.96,174.0,0,0,ODI,Bowling,Bowling
P Raho (PNG),2014-2014,1,1,45,32,2.0,2/32,16.0,4.26,22.5,0,0,ODI,Bowling,Bowling
WV Raman (INDIA),1988-1996,27,7,162,170,2.0,1/23,85.0,6.29,81.0,0,0,ODI,Bowling,Bowling
AN Ranasinghe (SL),1975-1982,9,8,324,281,2.0,1/21,140.5,5.2,162.0,0,0,ODI,Bowling,Bowling
NLK Ratnayake (SL),1989-1990,2,2,101,98,2.0,1/39,49.0,5.82,50.5,0,0,ODI,Bowling,Bowling
RA Reifer (WI),2019-2019,2,2,53,54,2.0,2/23,27.0,6.11,26.5,0,0,ODI,Bowling,Bowling
GJ Rennie (ZIM),1996-2003,40,4,90,75,2.0,1/17,37.5,5.0,45.0,0,0,ODI,Bowling,Bowling
CEB Rice (SA),1991-1991,3,3,138,114,2.0,1/46,57.0,4.95,69.0,0,0,ODI,Bowling,Bowling
EJ Richardson (IRE),2013-2013,2,2,66,54,2.0,2/39,27.0,4.9,33.0,0,0,ODI,Bowling,Bowling
Rizwan Latif (UAE),2004-2004,1,1,54,69,2.0,2/69,34.5,7.66,27.0,0,0,ODI,Bowling,Bowling
Robiul Islam (BDESH),2013-2013,3,3,133,117,2.0,1/21,58.5,5.27,66.5,0,0,ODI,Bowling,Bowling
LN Roche (ZIM),2018-2018,3,3,138,157,2.0,1/54,78.5,6.82,69.0,0,0,ODI,Bowling,Bowling
Rokhan Barakzai (AFG),2015-2015,1,1,60,45,2.0,2/45,22.5,4.5,30.0,0,0,ODI,Bowling,Bowling
Saadat Ali (PAK),1984-1984,8,2,27,29,2.0,2/24,14.5,6.44,13.5,0,0,ODI,Bowling,Bowling
Sadiq Mohammad (PAK),1973-1980,19,2,38,26,2.0,2/20,13.0,4.1,19.0,0,0,ODI,Bowling,Bowling
NA Saini (INDIA),2019-2019,1,1,60,58,2.0,2/58,29.0,5.8,30.0,0,0,ODI,Bowling,Bowling
Sajjad Akbar (PAK),1990-1990,2,1,60,45,2.0,2/45,22.5,4.5,30.0,0,0,ODI,Bowling,Bowling
RB Simpson (AUS),1978-1978,2,2,102,95,2.0,2/30,47.5,5.58,51.0,0,0,ODI,Bowling,Bowling
CL Smith (ENG),1984-1984,4,2,36,28,2.0,2/8,14.0,4.66,18.0,0,0,ODI,Bowling,Bowling
Sohail Butt (UAE),1994-1994,2,2,78,79,2.0,2/52,39.5,6.07,39.0,0,0,ODI,Bowling,Bowling
RW Staple (USA),2004-2004,2,1,60,76,2.0,2/76,38.0,7.6,30.0,0,0,ODI,Bowling,Bowling
PC Strydom (SA),2000-2000,10,7,252,206,2.0,1/18,103.0,4.9,126.0,0,0,ODI,Bowling,Bowling
T Taibu (Afr/ZIM),2001-2012,150,2,84,61,2.0,2/42,30.5,4.35,42.0,0,0,ODI,Bowling,Bowling
Tanvir Ahmed (PAK),2011-2011,2,2,60,83,2.0,1/38,41.5,8.3,30.0,0,0,ODI,Bowling,Bowling
DC Thomas (WI),2009-2013,21,1,7,11,2.0,2/11,5.5,9.42,3.5,0,0,ODI,Bowling,Bowling
PIC Thompson (WI),1997-1997,2,2,114,110,2.0,1/46,55.0,5.78,57.0,0,0,ODI,Bowling,Bowling
GP Thorpe (ENG),1993-2002,82,5,120,97,2.0,2/15,48.5,4.85,60.0,0,0,ODI,Bowling,Bowling
IJL Trott (ENG),2009-2013,68,10,183,166,2.0,2/31,83.0,5.44,91.5,0,0,ODI,Bowling,Bowling
CM Tuckett (WI),1998-1998,1,1,48,41,2.0,2/41,20.5,5.12,24.0,0,0,ODI,Bowling,Bowling
M van Jaarsveld (SA),2002-2004,11,2,31,18,2.0,1/0,9.0,3.48,15.5,0,0,ODI,Bowling,Bowling
M Venkataramana (INDIA),1988-1988,1,1,60,36,2.0,2/36,18.0,3.6,30.0,0,0,ODI,Bowling,Bowling
C Viljoen (NAM),2019-2019,2,2,30,14,2.0,2/6,7.0,2.8,15.0,0,0,ODI,Bowling,Bowling
KP Walmsley (NZ),2003-2003,2,2,120,117,2.0,1/53,58.5,5.85,60.0,0,0,ODI,Bowling,Bowling
GD Watson (AUS),1972-1972,2,1,48,28,2.0,2/28,14.0,3.5,24.0,0,0,ODI,Bowling,Bowling
DS Wesonga (KENYA),2010-2011,4,1,42,28,2.0,2/28,14.0,4.0,21.0,0,0,ODI,Bowling,Bowling
RK Whelan (IRE),2007-2007,2,2,90,99,2.0,1/43,49.5,6.6,45.0,0,0,ODI,Bowling,Bowling
CM Willoughby (SA),2000-2003,3,3,168,148,2.0,2/39,74.0,5.28,84.0,0,0,ODI,Bowling,Bowling
Yamin Ahmadzai (AFG),2015-2019,4,4,160,139,2.0,1/23,69.5,5.21,80.0,0,0,ODI,Bowling,Bowling
Zafar Gohar (PAK),2015-2015,1,1,60,54,2.0,2/54,27.0,5.4,30.0,0,0,ODI,Bowling,Bowling
Zahid Hussain (CAN),2011-2011,2,2,120,94,2.0,1/37,47.0,4.7,60.0,0,0,ODI,Bowling,Bowling
MZ Zahir (CAN),2009-2009,1,1,30,35,2.0,2/35,17.5,7.0,15.0,0,0,ODI,Bowling,Bowling
Zahir Khan (AFG),2019-2019,1,1,60,55,2.0,2/55,27.5,5.5,30.0,0,0,ODI,Bowling,Bowling
Aamer Hameed (PAK),1977-1978,2,2,88,38,1.0,1/32,38.0,2.59,88.0,0,0,ODI,Bowling,Bowling
SA Abbott (AUS),2014-2014,1,1,30,25,1.0,1/25,25.0,5.0,30.0,0,0,ODI,Bowling,Bowling
Ahmed Kamal (BDESH),1999-1999,1,1,30,39,1.0,1/39,39.0,7.8,30.0,0,0,ODI,Bowling,Bowling
DS Airee (NEPAL),2018-2019,6,3,78,51,1.0,1/19,51.0,3.92,78.0,0,0,ODI,Bowling,Bowling
GW Aldridge (NZ),2011-2011,2,2,114,98,1.0,1/45,98.0,5.15,114.0,0,0,ODI,Bowling,Bowling
Ali Khan (USA),2019-2019,1,1,30,23,1.0,1/23,23.0,4.6,30.0,0,0,ODI,Bowling,Bowling
Aminul Islam jnr (BDESH),1999-1999,1,1,30,33,1.0,1/33,33.0,6.6,30.0,0,0,ODI,Bowling,Bowling
Arshad Ali (UAE),2004-2008,4,3,102,105,1.0,1/5,105.0,6.17,102.0,0,0,ODI,Bowling,Bowling
Arshad Laeeq (UAE),1994-1996,6,6,198,198,1.0,1/25,198.0,6.0,198.0,0,0,ODI,Bowling,Bowling
B Arun (INDIA),1986-1987,4,4,102,103,1.0,1/43,103.0,6.05,102.0,0,0,ODI,Bowling,Bowling
Asim Saeed (UAE),2004-2004,2,2,54,40,1.0,1/25,40.0,4.44,54.0,0,0,ODI,Bowling,Bowling
KMC Bandara (SL),2016-2016,1,1,60,83,1.0,1/83,83.0,8.3,60.0,0,0,ODI,Bowling,Bowling
Basil Hameed (UAE),2019-2019,3,1,12,10,1.0,1/10,10.0,5.0,12.0,0,0,ODI,Bowling,Bowling
Basit Ali (PAK),1993-1996,50,2,30,21,1.0,1/17,21.0,4.2,30.0,0,0,ODI,Bowling,Bowling
RR Beaton (WI),2017-2017,2,2,102,102,1.0,1/60,102.0,6.0,102.0,0,0,ODI,Bowling,Bowling
JE Benjamin (ENG),1994-1995,2,2,72,47,1.0,1/22,47.0,3.91,72.0,0,0,ODI,Bowling,Bowling
K Birkenstock (NAM),2019-2019,5,1,6,5,1.0,1/5,5.0,5.0,6.0,0,0,ODI,Bowling,Bowling
BR Blair (NZ),1982-1986,14,2,30,34,1.0,1/7,34.0,6.8,30.0,0,0,ODI,Bowling,Bowling
GK Bose (INDIA),1974-1974,1,1,66,39,1.0,1/39,39.0,3.54,66.0,0,0,ODI,Bowling,Bowling
BP Bracewell (NZ),1978-1978,1,1,66,41,1.0,1/41,41.0,3.72,66.0,0,0,ODI,Bowling,Bowling
KC Brathwaite (WI),2016-2017,10,5,152,140,1.0,1/56,140.0,5.52,152.0,0,0,ODI,Bowling,Bowling
VR Brown (NZ),1988-1988,3,2,66,75,1.0,1/24,75.0,6.81,66.0,0,0,ODI,Bowling,Bowling
DE Budge (SCOT),2018-2019,3,2,36,26,1.0,1/21,26.0,4.33,36.0,0,0,ODI,Bowling,Bowling
MG Burgess (NZ),1973-1981,26,3,74,69,1.0,1/10,69.0,5.59,74.0,0,0,ODI,Bowling,Bowling
RG Callender (CAN),1979-1979,2,2,54,26,1.0,1/14,26.0,2.88,54.0,0,0,ODI,Bowling,Bowling
LOB Cann (BMUDA),2006-2009,26,4,100,129,1.0,1/34,129.0,7.74,100.0,0,0,ODI,Bowling,Bowling
SJ Chalmers (SCOT),2009-2009,2,2,60,49,1.0,1/34,49.0,4.9,60.0,0,0,ODI,Bowling,Bowling
S Chattergoon (WI),2006-2009,18,4,80,48,1.0,1/1,48.0,3.6,80.0,0,0,ODI,Bowling,Bowling
MT Chinouya (ZIM),2013-2013,2,2,66,50,1.0,1/36,50.0,4.54,66.0,0,0,ODI,Bowling,Bowling
KJ Coetzer (SCOT),2008-2019,59,7,179,203,1.0,1/35,203.0,6.8,179.0,0,0,ODI,Bowling,Bowling
MJ Cosgrove (AUS),2006-2006,3,2,30,13,1.0,1/1,13.0,2.6,30.0,0,0,ODI,Bowling,Bowling
CJ Dala (SA),2018-2018,2,2,102,121,1.0,1/57,121.0,7.11,102.0,0,0,ODI,Bowling,Bowling
Dawlat Ahmadzai (AFG),2009-2010,3,3,112,121,1.0,1/40,121.0,6.48,112.0,0,0,ODI,Bowling,Bowling
TN de Grooth (NL),2006-2013,34,1,6,2,1.0,1/2,2.0,2.0,6.0,0,0,ODI,Bowling,Bowling
BFW de Leede (NL),2018-2019,3,2,23,15,1.0,1/3,15.0,3.91,23.0,0,0,ODI,Bowling,Bowling
JL Denly (ENG),2009-2019,13,3,66,60,1.0,1/24,60.0,5.45,66.0,0,0,ODI,Bowling,Bowling
R Dhawan (INDIA),2016-2016,3,3,150,160,1.0,1/74,160.0,6.4,150.0,0,0,ODI,Bowling,Bowling
MS Dhoni (Asia/INDIA),2004-2019,350,2,36,31,1.0,1/14,31.0,5.16,36.0,0,0,ODI,Bowling,Bowling
PS Eaglestone (IRE),2008-2008,1,1,42,60,1.0,1/60,60.0,8.57,42.0,0,0,ODI,Bowling,Bowling
GN Edwards (NZ),1976-1981,6,1,6,5,1.0,1/5,5.0,5.0,6.0,0,0,ODI,Bowling,Bowling
Faisal Hossain (BDESH),2004-2010,6,2,73,53,1.0,1/27,53.0,4.35,73.0,0,0,ODI,Bowling,Bowling
Fakhar Zaman (PAK),2017-2019,46,7,135,111,1.0,1/19,111.0,4.93,135.0,0,0,ODI,Bowling,Bowling
TL Fernando (SL),1989-1989,1,1,18,16,1.0,1/16,16.0,5.33,18.0,0,0,ODI,Bowling,Bowling
SP Fleming (ICC/NZ),1994-2007,280,3,29,28,1.0,1/8,28.0,5.79,29.0,0,0,ODI,Bowling,Bowling
MJ Fourie (IRE),2007-2008,7,5,179,128,1.0,1/33,128.0,4.29,179.0,0,0,ODI,Bowling,Bowling
AN French (HKG),2004-2004,2,2,72,67,1.0,1/51,67.0,5.58,72.0,0,0,ODI,Bowling,Bowling
AD Gaekwad (INDIA),1975-1987,15,1,48,39,1.0,1/39,39.0,4.87,48.0,0,0,ODI,Bowling,Bowling
D Ganesh (INDIA),1997-1997,1,1,30,20,1.0,1/20,20.0,4.0,30.0,0,0,ODI,Bowling,Bowling
TN Garwe (ZIM),2009-2009,1,1,36,50,1.0,1/50,50.0,8.33,36.0,0,0,ODI,Bowling,Bowling
RS Gavaskar (INDIA),2004-2004,11,2,72,74,1.0,1/56,74.0,6.16,72.0,0,0,ODI,Bowling,Bowling
SM Gavaskar (INDIA),1974-1987,108,4,20,25,1.0,1/10,25.0,7.5,20.0,0,0,ODI,Bowling,Bowling
BD Glover (NL),2019-2019,1,1,60,37,1.0,1/37,37.0,3.7,60.0,0,0,ODI,Bowling,Bowling
Y Goonasekera (SL),1983-1983,3,2,36,35,1.0,1/24,35.0,5.83,36.0,0,0,ODI,Bowling,Bowling
EL Gouka (NL),1996-1996,3,2,22,51,1.0,1/32,51.0,13.9,22.0,0,0,ODI,Bowling,Bowling
VD Grandia (NL),2002-2002,1,1,30,40,1.0,1/40,40.0,8.0,30.0,0,0,ODI,Bowling,Bowling
CG Greenidge (WI),1975-1991,128,2,60,45,1.0,1/21,45.0,4.5,60.0,0,0,ODI,Bowling,Bowling
RD Gudhka (KENYA),2011-2011,2,2,78,60,1.0,1/41,60.0,4.61,78.0,0,0,ODI,Bowling,Bowling
Habibul Bashar (BDESH),1995-2007,111,6,175,142,1.0,1/31,142.0,4.86,175.0,0,0,ODI,Bowling,Bowling
LJ Hamilton (NZ),2005-2005,2,2,108,143,1.0,1/76,143.0,7.94,108.0,0,0,ODI,Bowling,Bowling
JR Hammond (AUS),1972-1972,1,1,54,41,1.0,1/41,41.0,4.55,54.0,0,0,ODI,Bowling,Bowling
MJ Haslam (NZ),1992-1992,1,1,30,28,1.0,1/28,28.0,5.6,30.0,0,0,ODI,Bowling,Bowling
