Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
B Mitchell (SA),1929-1949,42,80,9,3471.0,189*,48.88,8,21,3,TEST,Batting,Batting
GW Flower (ZIM),1992-2004,67,123,6,3457.0,201*,29.54,6,15,16,TEST,Batting,Batting
BE Congdon (NZ),1965-1978,61,114,7,3448.0,176,32.22,7,19,9,TEST,Batting,Batting
JR Reid (NZ),1949-1965,58,108,5,3428.0,142,33.28,6,22,5,TEST,Batting,Batting
C Hill (AUS),1896-1912,49,89,2,3412.0,191,39.21,7,19,9,TEST,Batting,Batting
GA Hick (ENG),1991-2001,65,114,6,3383.0,178,31.32,6,18,11,TEST,Batting,Batting
GM Wood (AUS),1978-1988,59,112,6,3374.0,172,31.83,9,13,9,TEST,Batting,Batting
PJL Dujon (WI),1981-1991,81,115,11,3322.0,139,31.94,5,16,8,TEST,Batting,Batting
CL Cairns (NZ),1989-2004,62,104,5,3320.0,158,33.53,5,22,7,TEST,Batting,Batting
Ijaz Ahmed (PAK),1987-2001,60,92,4,3315.0,211,37.67,12,12,7,TEST,Batting,Batting
FE Woolley (ENG),1909-1934,64,98,7,3283.0,154,36.07,5,23,13,TEST,Batting,Batting
KWR Fletcher (ENG),1968-1982,59,96,14,3272.0,216,39.9,7,19,6,TEST,Batting,Batting
BJ Haddin (AUS),2008-2015,66,112,13,3266.0,169,32.98,4,18,8,TEST,Batting,Batting
ND McKenzie (SA),2000-2009,58,94,7,3253.0,226,37.39,5,16,9,TEST,Batting,Batting
CC Hunte (WI),1958-1967,44,78,6,3245.0,260,45.06,8,13,5,TEST,Batting,Batting
VL Manjrekar (INDIA),1951-1965,55,92,10,3208.0,189*,39.12,7,15,11,TEST,Batting,Batting
NS Sidhu (INDIA),1983-1999,51,78,2,3202.0,201,42.13,9,15,9,TEST,Batting,Batting
HA Gomes (WI),1976-1987,60,91,11,3171.0,143,39.63,9,13,5,TEST,Batting,Batting
VT Trumper (AUS),1899-1912,48,89,8,3163.0,214*,39.04,8,13,7,TEST,Batting,Batting
SCJ Broad (ENG),2007-2019,135,199,29,3158.0,169,18.57,1,12,35,TEST,Batting,Batting
SK Warne (AUS),1992-2007,145,199,17,3154.0,99,17.32,0,12,34,TEST,Batting,Batting
Sir RJ Hadlee (NZ),1973-1990,86,134,19,3124.0,151*,27.16,2,15,12,TEST,Batting,Batting
CD McMillan (NZ),1997-2005,55,91,10,3116.0,142,38.46,6,19,7,TEST,Batting,Batting
CC McDonald (AUS),1952-1961,47,83,4,3107.0,170,39.32,5,17,2,TEST,Batting,Batting
BF Butcher (WI),1958-1969,44,78,6,3104.0,209*,43.11,7,16,3,TEST,Batting,Batting
WPUJC Vaas (SL),1994-2009,111,162,35,3089.0,100*,24.32,1,13,12,TEST,Batting,Batting
AL Hassett (AUS),1938-1953,43,69,3,3073.0,198*,46.56,10,11,1,TEST,Batting,Batting
CG Borde (INDIA),1958-1969,55,97,11,3061.0,177*,35.59,5,18,13,TEST,Batting,Batting
Habibul Bashar (BDESH),2000-2008,50,99,1,3026.0,113,30.87,3,24,7,TEST,Batting,Batting
JC Adams (WI),1992-2001,54,90,17,3012.0,208*,41.26,6,14,7,TEST,Batting,Batting
Saeed Ahmed (PAK),1958-1973,41,78,4,2991.0,172,40.41,5,16,2,TEST,Batting,Batting
GM Turner (NZ),1969-1983,41,73,6,2991.0,259,44.64,7,14,1,TEST,Batting,Batting
