Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Format,Category,Type
FJ Laver (AUS),1899-1909,15,23,6,196.0,45,11.52,0,0,4,TEST,Batting,Batting
AC Agar (AUS),2013-2017,4,7,1,195.0,98,32.5,0,1,0,TEST,Batting,Batting
BA Barnett (AUS),1938-1938,4,8,1,195.0,57,27.85,0,1,0,TEST,Batting,Batting
STR Binny (INDIA),2014-2015,6,10,1,194.0,78,21.55,0,1,2,TEST,Batting,Batting
Shahid Nazir (PAK),1996-2007,15,19,3,194.0,40,12.12,0,0,3,TEST,Batting,Batting
RMS Eranga (SL),2011-2016,19,26,11,193.0,45*,12.86,0,0,4,TEST,Batting,Batting
SG Gedye (NZ),1964-1965,4,8,0,193.0,55,24.12,0,2,0,TEST,Batting,Batting
T Westley (ENG),2017-2017,5,9,1,193.0,59,24.12,0,1,0,TEST,Batting,Batting
Fakhar Zaman (PAK),2018-2019,3,6,0,192.0,94,32.0,0,2,0,TEST,Batting,Batting
Ghulam Ahmed (INDIA),1948-1959,22,31,9,192.0,50,8.72,0,1,9,TEST,Batting,Batting
D Kenyon (ENG),1951-1955,8,15,0,192.0,87,12.8,0,1,1,TEST,Batting,Batting
AJ Doolan (AUS),2014-2014,4,8,0,191.0,89,23.87,0,1,1,TEST,Batting,Batting
WE Astill (ENG),1927-1930,9,15,0,190.0,40,12.66,0,0,2,TEST,Batting,Batting
PR Carlstein (SA),1958-1964,8,14,1,190.0,42,14.61,0,0,1,TEST,Batting,Batting
RW Blair (NZ),1953-1964,19,34,6,189.0,64*,6.75,0,1,12,TEST,Batting,Batting
AL Mann (AUS),1977-1978,4,8,0,189.0,105,23.62,1,0,2,TEST,Batting,Batting
EA Halliwell (SA),1892-1902,8,15,0,188.0,57,12.53,0,1,3,TEST,Batting,Batting
J Sharp (ENG),1909-1909,3,6,2,188.0,105,47.0,1,1,0,TEST,Batting,Batting
CC Depeiaza (WI),1955-1956,5,8,2,187.0,122,31.16,1,0,1,TEST,Batting,Batting
ML Nkala (ZIM),2000-2005,10,15,2,187.0,47,14.38,0,0,4,TEST,Batting,Batting
JJ Roy (ENG),2019-2019,5,10,0,187.0,72,18.7,0,1,1,TEST,Batting,Batting
PH Sharma (INDIA),1974-1977,5,10,0,187.0,54,18.7,0,1,0,TEST,Batting,Batting
DW Headley (ENG),1997-1999,15,26,4,186.0,31,8.45,0,0,3,TEST,Batting,Batting
GB Hogg (AUS),1996-2008,7,10,3,186.0,79,26.57,0,1,0,TEST,Batting,Batting
DA Marillier (ZIM),2000-2002,5,7,1,186.0,73,31.0,0,2,0,TEST,Batting,Batting
PL Winslow (SA),1950-1955,5,9,0,186.0,108,20.66,1,0,1,TEST,Batting,Batting
EAR de Silva (SL),1985-1991,10,16,4,185.0,50,15.41,0,1,3,TEST,Batting,Batting
K Higgs (ENG),1965-1968,15,19,3,185.0,63,11.56,0,1,2,TEST,Batting,Batting
MV Nagamootoo (WI),2000-2002,5,8,1,185.0,68,26.42,0,1,0,TEST,Batting,Batting
L Baichan (WI),1975-1976,3,6,2,184.0,105*,46.0,1,0,0,TEST,Batting,Batting
HK Olonga (ZIM),1995-2002,30,45,11,184.0,24,5.41,0,0,14,TEST,Batting,Batting
GJ Bailey (AUS),2013-2014,5,8,1,183.0,53,26.14,0,1,1,TEST,Batting,Batting
C Blythe (ENG),1901-1910,19,31,12,183.0,27,9.63,0,0,4,TEST,Batting,Batting
SP Gupte (INDIA),1951-1961,36,42,13,183.0,21,6.31,0,0,6,TEST,Batting,Batting
Ijaz Faqih (PAK),1980-1988,5,8,1,183.0,105,26.14,1,0,2,TEST,Batting,Batting
Aftab Gul (PAK),1969-1971,6,8,0,182.0,33,22.75,0,0,0,TEST,Batting,Batting
LJ Moon (ENG),1906-1906,4,8,0,182.0,36,22.75,0,0,1,TEST,Batting,Batting
CR Brathwaite (WI),2015-2016,3,5,1,181.0,69,45.25,0,3,1,TEST,Batting,Batting
CP Carter (SA),1912-1924,10,15,5,181.0,45,18.1,0,0,3,TEST,Batting,Batting
DA Gunawardene (SL),1999-2005,6,11,0,181.0,43,16.45,0,0,1,TEST,Batting,Batting
RH Shodhan (INDIA),1952-1953,3,4,1,181.0,110,60.33,1,0,0,TEST,Batting,Batting
EJ Chatfield (NZ),1975-1989,43,54,33,180.0,21*,8.57,0,0,11,TEST,Batting,Batting
Enamul Haque (BDESH),2001-2003,10,19,4,180.0,24*,12.0,0,0,3,TEST,Batting,Batting
CJ Jordan (ENG),2014-2015,8,11,1,180.0,35,18.0,0,0,0,TEST,Batting,Batting
NGB Cook (ENG),1983-1989,15,25,4,179.0,31,8.52,0,0,2,TEST,Batting,Batting
N Gifford (ENG),1964-1973,15,20,9,179.0,25*,16.27,0,0,1,TEST,Batting,Batting
JFW Nicolson (SA),1928-1928,3,5,0,179.0,78,35.8,0,1,0,TEST,Batting,Batting
AD Ogilvie (AUS),1977-1978,5,10,0,178.0,47,17.8,0,0,3,TEST,Batting,Batting
HM Goonatilleke (SL),1982-1982,5,10,2,177.0,56,22.12,0,1,1,TEST,Batting,Batting
LV Maddocks (AUS),1954-1956,7,12,2,177.0,69,17.7,0,1,3,TEST,Batting,Batting
T Richardson (ENG),1893-1898,14,24,8,177.0,25*,11.06,0,0,3,TEST,Batting,Batting
Younis Ahmed (PAK),1969-1987,4,7,1,177.0,62,29.5,0,1,1,TEST,Batting,Batting
CR Browne (WI),1928-1930,4,8,1,176.0,70*,25.14,0,1,2,TEST,Batting,Batting
NG Cowans (ENG),1982-1985,19,29,7,175.0,36,7.95,0,0,5,TEST,Batting,Batting
EW Dawson (ENG),1928-1930,5,9,0,175.0,55,19.44,0,1,0,TEST,Batting,Batting
C Pringle (NZ),1990-1995,14,21,4,175.0,30,10.29,0,0,7,TEST,Batting,Batting
XC Balaskas (SA),1930-1939,9,13,1,174.0,122*,14.5,1,0,5,TEST,Batting,Batting
SSJ Brooks (WI),2019-2019,3,5,0,174.0,111,34.8,1,1,1,TEST,Batting,Batting
RJ Inverarity (AUS),1968-1972,6,11,1,174.0,56,17.4,0,1,1,TEST,Batting,Batting
CR Miller (AUS),1998-2001,18,24,3,174.0,43,8.28,0,0,7,TEST,Batting,Batting
CH Morris (SA),2016-2017,4,7,0,173.0,69,24.71,0,1,0,TEST,Batting,Batting
KH Weekes (WI),1939-1939,2,3,0,173.0,137,57.66,1,0,0,TEST,Batting,Batting
Inshan Ali (WI),1971-1977,12,18,2,172.0,25,10.75,0,0,3,TEST,Batting,Batting
ST Clarke (WI),1978-1982,11,16,5,172.0,35*,15.63,0,0,2,TEST,Batting,Batting
MF Kent (AUS),1981-1981,3,6,0,171.0,54,28.5,0,2,0,TEST,Batting,Batting
CS Pandit (INDIA),1986-1992,5,8,1,171.0,39,24.42,0,0,0,TEST,Batting,Batting
OC Scott (WI),1928-1931,8,13,3,171.0,35,17.1,0,0,1,TEST,Batting,Batting
GM Carew (WI),1935-1949,4,7,1,170.0,107,28.33,1,0,1,TEST,Batting,Batting
C Gladwin (ENG),1947-1949,8,11,5,170.0,51*,28.33,0,1,0,TEST,Batting,Batting
MJ Hartigan (AUS),1908-1908,2,4,0,170.0,116,42.5,1,0,0,TEST,Batting,Batting
J Iddon (ENG),1935-1935,5,7,1,170.0,73,28.33,0,2,3,TEST,Batting,Batting
C Ramaswami (INDIA),1936-1936,2,4,1,170.0,60,56.66,0,1,0,TEST,Batting,Batting
Tanvir Ahmed (PAK),2010-2013,5,7,2,170.0,57,34.0,0,1,0,TEST,Batting,Batting
KC Ibrahim (INDIA),1948-1949,4,8,0,169.0,85,21.12,0,1,1,TEST,Batting,Batting
RA Young (NZ),2011-2011,5,10,3,169.0,57,24.14,0,1,1,TEST,Batting,Batting
SE Bond (NZ),2001-2009,18,20,7,168.0,41*,12.92,0,0,1,TEST,Batting,Batting
SH Curnow (SA),1930-1932,7,14,0,168.0,47,12.0,0,0,0,TEST,Batting,Batting
FGJ Ford (ENG),1894-1895,5,9,0,168.0,48,18.66,0,0,1,TEST,Batting,Batting
F Hearne (ENG/SA),1889-1896,6,10,0,168.0,30,16.8,0,0,2,TEST,Batting,Batting
WVS Ling (SA),1921-1923,6,10,0,168.0,38,16.8,0,0,3,TEST,Batting,Batting
Anil Dalpat (PAK),1984-1985,9,12,1,167.0,52,15.18,0,1,0,TEST,Batting,Batting
BS Chandrasekhar (INDIA),1964-1979,58,80,39,167.0,22,4.07,0,0,23,TEST,Batting,Batting
M Watkinson (ENG),1995-1996,4,6,1,167.0,82*,33.4,0,1,1,TEST,Batting,Batting
SW Ambris (WI),2017-2018,6,12,1,166.0,43,15.09,0,0,2,TEST,Batting,Batting
JP Fellows-Smith (SA),1960-1960,4,8,2,166.0,35,27.66,0,0,0,TEST,Batting,Batting
EAC Hunte (WI),1930-1930,3,6,1,166.0,58,33.2,0,2,0,TEST,Batting,Batting
KR Pushpakumara (SL),1994-2001,23,31,12,166.0,44,8.73,0,0,5,TEST,Batting,Batting
RJ Westcott (SA),1954-1958,5,9,0,166.0,62,18.44,0,1,2,TEST,Batting,Batting
Abul Hasan (BDESH),2012-2013,3,5,3,165.0,113,82.5,1,0,0,TEST,Batting,Batting
PK Sen (INDIA),1948-1952,14,18,4,165.0,25,11.78,0,0,1,TEST,Batting,Batting
ML Su'a (NZ),1992-1995,13,18,5,165.0,44,12.69,0,0,5,TEST,Batting,Batting
MC Henriques (AUS),2013-2016,4,8,1,164.0,81*,23.42,0,2,2,TEST,Batting,Batting
Mosaddek Hossain (BDESH),2017-2019,3,6,2,164.0,75,41.0,0,1,0,TEST,Batting,Batting
OJ Pope (ENG),2018-2019,4,6,0,164.0,75,27.33,0,1,0,TEST,Batting,Batting
PH Punjabi (INDIA),1955-1955,5,10,0,164.0,33,16.4,0,0,0,TEST,Batting,Batting
A Ratra (INDIA),2002-2002,6,10,1,163.0,115*,18.11,1,0,1,TEST,Batting,Batting
RE Redmond (NZ),1973-1973,1,2,0,163.0,107,81.5,1,1,0,TEST,Batting,Batting
HD Ackerman (SA),1998-1998,4,8,0,161.0,57,20.12,0,1,0,TEST,Batting,Batting
CJ Poole (ENG),1951-1952,3,5,1,161.0,69*,40.25,0,2,0,TEST,Batting,Batting
WJ Whitty (AUS),1909-1912,14,19,7,161.0,39*,13.41,0,0,3,TEST,Batting,Batting
EG Arnold (ENG),1903-1907,10,15,3,160.0,40,13.33,0,0,5,TEST,Batting,Batting
CL Badcock (AUS),1936-1938,7,12,1,160.0,118,14.54,1,0,4,TEST,Batting,Batting
CI Dunusinghe (SL),1995-1995,5,10,0,160.0,91,16.0,0,1,3,TEST,Batting,Batting
T Emmett (ENG),1877-1882,7,13,1,160.0,48,13.33,0,0,1,TEST,Batting,Batting
CH Parkin (ENG),1920-1924,10,16,3,160.0,36,12.3,0,0,1,TEST,Batting,Batting
OJ Phillips (WI),2009-2009,2,4,0,160.0,94,40.0,0,1,0,TEST,Batting,Batting
CT Studd (ENG),1882-1883,5,9,1,160.0,48,20.0,0,0,2,TEST,Batting,Batting
PD Lashley (WI),1960-1966,4,7,0,159.0,49,22.71,0,0,1,TEST,Batting,Batting
DD Taylor (NZ),1947-1956,3,5,0,159.0,77,31.8,0,1,0,TEST,Batting,Batting
CEH Croft (WI),1977-1982,27,37,22,158.0,33,10.53,0,0,6,TEST,Batting,Batting
WP Howell (AUS),1898-1904,18,27,6,158.0,35,7.52,0,0,8,TEST,Batting,Batting
GF Labrooy (SL),1986-1991,9,14,3,158.0,70*,14.36,0,1,3,TEST,Batting,Batting
DR O'Sullivan (NZ),1973-1976,11,21,4,158.0,23*,9.29,0,0,2,TEST,Batting,Batting
SC Griffith (ENG),1948-1949,3,5,0,157.0,140,31.4,1,0,1,TEST,Batting,Batting
AP Lucas (ENG),1879-1884,5,9,1,157.0,55,19.62,0,1,0,TEST,Batting,Batting
DAR Moloney (NZ),1937-1937,3,6,0,156.0,64,26.0,0,1,1,TEST,Batting,Batting
Naushad Ali (PAK),1965-1965,6,11,0,156.0,39,14.18,0,0,0,TEST,Batting,Batting
Z de Bruyn (SA),2004-2004,3,5,1,155.0,83,38.75,0,1,0,TEST,Batting,Batting
Hasan Ali (PAK),2017-2019,9,15,5,155.0,29,15.5,0,0,3,TEST,Batting,Batting
Rashid Khan (PAK),1982-1985,4,6,3,155.0,59,51.66,0,1,1,TEST,Batting,Batting
AP Freeman (ENG),1924-1929,12,16,5,154.0,50*,14.0,0,1,2,TEST,Batting,Batting
I Meckiff (AUS),1957-1963,18,20,7,154.0,45*,11.84,0,0,2,TEST,Batting,Batting
SMJ Woods (AUS/ENG),1888-1896,6,10,0,154.0,53,15.4,0,1,2,TEST,Batting,Batting
Akram Raza (PAK),1989-1995,9,12,2,153.0,32,15.3,0,0,3,TEST,Batting,Batting
HF Boyle (AUS),1879-1884,12,16,4,153.0,36*,12.75,0,0,2,TEST,Batting,Batting
OC da Costa (WI),1930-1935,5,9,1,153.0,39,19.12,0,0,1,TEST,Batting,Batting
R Dumbrill (SA),1965-1967,5,10,0,153.0,36,15.3,0,0,0,TEST,Batting,Batting
RG Gregory (AUS),1937-1937,2,3,0,153.0,80,51.0,0,2,0,TEST,Batting,Batting
TJ Matthews (AUS),1912-1912,8,10,1,153.0,53,17.0,0,1,1,TEST,Batting,Batting
J O'Connor (ENG),1929-1930,4,7,0,153.0,51,21.85,0,1,1,TEST,Batting,Batting
PCR Tufnell (ENG),1990-2001,42,59,29,153.0,22*,5.1,0,0,15,TEST,Batting,Batting
RG de Alwis (SL),1983-1988,11,19,0,152.0,28,8.0,0,0,5,TEST,Batting,Batting
AJ Pycroft (ZIM),1992-1992,3,5,0,152.0,60,30.4,0,1,0,TEST,Batting,Batting
EFS Tylecote (ENG),1882-1886,6,9,1,152.0,66,19.0,0,1,4,TEST,Batting,Batting
FJ Cameron (WI),1948-1949,5,7,1,151.0,75*,25.16,0,1,1,TEST,Batting,Batting
RK Oxenham (AUS),1928-1931,7,10,0,151.0,48,15.1,0,0,2,TEST,Batting,Batting
SR Patel (ENG),2012-2015,6,9,0,151.0,42,16.77,0,0,2,TEST,Batting,Batting
WR Playle (NZ),1958-1963,8,15,0,151.0,65,10.06,0,1,3,TEST,Batting,Batting
W Attewell (ENG),1884-1892,10,15,6,150.0,43*,16.66,0,0,4,TEST,Batting,Batting
AE Fagg (ENG),1936-1939,5,8,0,150.0,39,18.75,0,0,0,TEST,Batting,Batting
JD Nel (SA),1949-1957,6,11,0,150.0,38,13.63,0,0,1,TEST,Batting,Batting
GJ Batty (ENG),2003-2016,9,12,2,149.0,38,14.9,0,0,2,TEST,Batting,Batting
P Kumar (INDIA),2011-2011,6,10,0,149.0,40,14.9,0,0,2,TEST,Batting,Batting
J Birkenshaw (ENG),1973-1974,5,7,0,148.0,64,21.14,0,1,1,TEST,Batting,Batting
Ibrahim Zadran (AFG),2019-2019,2,4,0,148.0,87,37.0,0,1,0,TEST,Batting,Batting
Shadab Kabir (PAK),1996-2002,5,7,0,148.0,55,21.14,0,1,0,TEST,Batting,Batting
BJT Bosanquet (ENG),1903-1905,7,14,3,147.0,27,13.36,0,0,0,TEST,Batting,Batting
SC Joseph (WI),2004-2007,5,10,0,147.0,45,14.7,0,0,1,TEST,Batting,Batting
S Randiv (SL),2010-2012,12,17,1,147.0,39,9.18,0,0,3,TEST,Batting,Batting
NB Mahwire (ZIM),2002-2005,10,17,6,147.0,50*,13.36,0,1,2,TEST,Batting,Batting
CS Nayudu (INDIA),1934-1952,11,19,3,147.0,36,9.18,0,0,3,TEST,Batting,Batting
NAT Adcock (SA),1953-1962,26,39,12,146.0,24,5.4,0,0,9,TEST,Batting,Batting
A Balbirnie (IRE),2018-2019,3,6,0,146.0,82,24.33,0,2,2,TEST,Batting,Batting
RW McLeod (AUS),1892-1893,6,11,0,146.0,31,13.27,0,0,0,TEST,Batting,Batting
Sikander Bakht (PAK),1976-1983,26,35,12,146.0,22*,6.34,0,0,4,TEST,Batting,Batting
CL White (AUS),2008-2008,4,7,2,146.0,46,29.2,0,0,0,TEST,Batting,Batting
Zubayr Hamza (SA),2019-2019,3,6,0,146.0,62,24.33,0,1,2,TEST,Batting,Batting
Lord Harris (ENG),1879-1884,4,6,1,145.0,52,29.0,0,1,0,TEST,Batting,Batting
R Howorth (ENG),1947-1948,5,10,2,145.0,45*,18.12,0,0,0,TEST,Batting,Batting
EH Mattis (WI),1981-1981,4,5,0,145.0,71,29.0,0,1,1,TEST,Batting,Batting
BP Patterson (WI),1986-1992,28,38,16,145.0,21*,6.59,0,0,8,TEST,Batting,Batting
Mohammad Nazir (PAK),1969-1983,14,18,10,144.0,29*,18.0,0,0,3,TEST,Batting,Batting
KR Patterson (AUS),2019-2019,2,2,1,144.0,114*,144.0,1,0,0,TEST,Batting,Batting
W Place (ENG),1948-1948,3,6,1,144.0,107,28.8,1,0,0,TEST,Batting,Batting
Zulfiqar Babar (PAK),2013-2016,15,18,9,144.0,56,16.0,0,1,2,TEST,Batting,Batting
EL a'Beckett (AUS),1928-1932,4,7,0,143.0,41,20.42,0,0,0,TEST,Batting,Batting
RE Marshall (WI),1951-1952,4,7,0,143.0,30,20.42,0,0,1,TEST,Batting,Batting
CPH Ramanayake (SL),1988-1993,18,24,9,143.0,34*,9.53,0,0,7,TEST,Batting,Batting
JA Warrican (WI),2015-2019,8,14,9,142.0,41,28.4,0,0,1,TEST,Batting,Batting
SS Dighe (INDIA),2001-2001,6,10,1,141.0,47,15.66,0,0,1,TEST,Batting,Batting
DRE Joseph (WI),1999-1999,4,7,0,141.0,50,20.14,0,1,0,TEST,Batting,Batting
GB Lawrence (SA),1961-1962,5,8,0,141.0,43,17.62,0,0,2,TEST,Batting,Batting
Mohammad Asif (PAK),2005-2010,23,38,13,141.0,29,5.64,0,0,14,TEST,Batting,Batting
SS Naik (INDIA),1974-1975,3,6,0,141.0,77,23.5,0,1,1,TEST,Batting,Batting
AL Valentine (WI),1950-1962,36,51,21,141.0,14,4.7,0,0,12,TEST,Batting,Batting
R Chandrika (WI),2015-2016,5,10,0,140.0,37,14.0,0,0,3,TEST,Batting,Batting
TS Curtis (ENG),1988-1989,5,9,0,140.0,41,15.55,0,0,1,TEST,Batting,Batting
GR Robertson (AUS),1998-1998,4,7,0,140.0,57,20.0,0,1,2,TEST,Batting,Batting
DW Begbie (SA),1948-1950,5,7,0,138.0,48,19.71,0,0,0,TEST,Batting,Batting
Faheem Ashraf (PAK),2018-2019,4,6,0,138.0,83,23.0,0,1,2,TEST,Batting,Batting
Hashmatullah Shahidi (AFG),2018-2019,3,6,2,138.0,61,34.5,0,1,0,TEST,Batting,Batting
DB Pithey (SA),1963-1967,8,12,1,138.0,55,12.54,0,1,1,TEST,Batting,Batting
FT Badcock (NZ),1930-1933,7,9,2,137.0,64,19.57,0,2,3,TEST,Batting,Batting
LS Birkett (WI),1930-1931,4,8,0,136.0,64,17.0,0,1,1,TEST,Batting,Batting
JW D'Arcy (NZ),1958-1958,5,10,0,136.0,33,13.6,0,0,0,TEST,Batting,Batting
TV Hohns (AUS),1989-1989,7,7,1,136.0,40,22.66,0,0,1,TEST,Batting,Batting
Rahat Ali (PAK),2013-2018,21,31,13,136.0,35*,7.55,0,0,8,TEST,Batting,Batting
Surendranath (INDIA),1958-1961,11,20,7,136.0,27,10.46,0,0,4,TEST,Batting,Batting
Afsar Zazai (AFG),2018-2019,3,6,1,135.0,48*,27.0,0,0,0,TEST,Batting,Batting
KBJ Azad (INDIA),1981-1983,7,12,0,135.0,24,11.25,0,0,2,TEST,Batting,Batting
DB Carr (ENG),1951-1952,2,4,0,135.0,76,33.75,0,1,0,TEST,Batting,Batting
A Dananjaya (SL),2018-2019,6,10,2,135.0,43*,16.87,0,0,3,TEST,Batting,Batting
Azeem Hafeez (PAK),1983-1985,18,21,5,134.0,24,8.37,0,0,2,TEST,Batting,Batting
DA Sharpe (PAK),1959-1959,3,6,0,134.0,56,22.33,0,1,0,TEST,Batting,Batting
N Pradeep (SL),2011-2017,28,50,17,132.0,17*,4.0,0,0,18,TEST,Batting,Batting
TCB Fernando (SL),2001-2002,9,8,3,132.0,45,26.4,0,0,1,TEST,Batting,Batting
PW Jarvis (ENG),1988-1993,9,15,2,132.0,29*,10.15,0,0,1,TEST,Batting,Batting
E Wainwright (ENG),1893-1898,5,9,0,132.0,49,14.66,0,0,0,TEST,Batting,Batting
EL Bartlett (WI),1928-1931,5,8,1,131.0,84,18.71,0,1,1,TEST,Batting,Batting
GC Dyer (AUS),1986-1988,6,6,0,131.0,60,21.83,0,1,1,TEST,Batting,Batting
DL Piedt (SA),2014-2019,9,12,1,131.0,56,11.9,0,1,2,TEST,Batting,Batting
V Rathour (INDIA),1996-1997,6,10,0,131.0,44,13.1,0,0,0,TEST,Batting,Batting
L Tuckett (SA),1947-1949,9,14,3,131.0,40*,11.9,0,0,3,TEST,Batting,Batting
Imran Tahir (SA),2011-2015,20,23,9,130.0,29*,9.28,0,0,2,TEST,Batting,Batting
L Sivaramakrishnan (INDIA),1983-1986,9,9,1,130.0,25,16.25,0,0,1,TEST,Batting,Batting
Hon.FSG Calthorpe (ENG),1930-1930,4,7,0,129.0,49,18.42,0,0,1,TEST,Batting,Batting
DR Doshi (INDIA),1979-1983,33,38,10,129.0,20,4.6,0,0,14,TEST,Batting,Batting
CV Gadkari (INDIA),1953-1955,6,10,4,129.0,50*,21.5,0,1,2,TEST,Batting,Batting
H Gimblett (ENG),1936-1939,3,5,1,129.0,67*,32.25,0,1,0,TEST,Batting,Batting
JR Mason (ENG),1897-1898,5,10,0,129.0,32,12.9,0,0,1,TEST,Batting,Batting
RW Tolchard (ENG),1977-1977,4,7,2,129.0,67,25.8,0,1,1,TEST,Batting,Batting
IJ Ward (ENG),2001-2001,5,9,1,129.0,39,16.12,0,0,1,TEST,Batting,Batting
HR Bromley-Davenport (ENG),1896-1899,4,6,0,128.0,84,21.33,0,1,1,TEST,Batting,Batting
M Hendrick (ENG),1974-1981,30,35,15,128.0,15,6.4,0,0,8,TEST,Batting,Batting
RK Illingworth (ENG),1991-1995,9,14,7,128.0,28,18.28,0,0,3,TEST,Batting,Batting
BP Julian (AUS),1993-1995,7,9,1,128.0,56*,16.0,0,1,3,TEST,Batting,Batting
D Smith (ENG),1935-1935,2,4,0,128.0,57,32.0,0,1,1,TEST,Batting,Batting
PM Walker (ENG),1960-1960,3,4,0,128.0,52,32.0,0,1,0,TEST,Batting,Batting
S Chattergoon (WI),2008-2008,4,7,0,127.0,46,18.14,0,0,0,TEST,Batting,Batting
GR Larsen (NZ),1994-1996,8,13,4,127.0,26*,14.11,0,0,2,TEST,Batting,Batting
AD Mullally (ENG),1996-2001,19,27,4,127.0,24,5.52,0,0,12,TEST,Batting,Batting
PJR Steyn (SA),1995-1995,3,6,0,127.0,46,21.16,0,0,0,TEST,Batting,Batting
ES Atkinson (WI),1958-1959,8,9,1,126.0,37,15.75,0,0,3,TEST,Batting,Batting
NE Haig (ENG),1921-1930,5,9,0,126.0,47,14.0,0,0,2,TEST,Batting,Batting
JT Hearne (ENG),1892-1899,12,18,4,126.0,40,9.0,0,0,3,TEST,Batting,Batting
KM Jarvis (ZIM),2011-2018,12,22,10,126.0,25*,10.5,0,0,4,TEST,Batting,Batting
E Jones (AUS),1894-1902,19,26,1,126.0,20,5.04,0,0,5,TEST,Batting,Batting
DL Bairstow (ENG),1979-1981,4,7,1,125.0,59,20.83,0,1,1,TEST,Batting,Batting
JB Commins (SA),1994-1995,3,6,1,125.0,45,25.0,0,0,1,TEST,Batting,Batting
Marshall Ayub (BDESH),2013-2014,3,6,0,125.0,41,20.83,0,0,0,TEST,Batting,Batting
WFE Marx (SA),1921-1921,3,6,0,125.0,36,20.83,0,0,1,TEST,Batting,Batting
Nazimuddin (BDESH),2011-2012,3,6,0,125.0,78,20.83,0,1,2,TEST,Batting,Batting
DM Richards (WI),2009-2010,3,6,0,125.0,69,20.83,0,1,1,TEST,Batting,Batting
S Samarawickrama (SL),2017-2017,4,8,0,125.0,38,15.62,0,0,2,TEST,Batting,Batting
CW Wright (ENG),1896-1896,3,4,0,125.0,71,31.25,0,1,0,TEST,Batting,Batting
HMCM Bandara (SL),1998-2006,8,11,3,124.0,43,15.5,0,0,2,TEST,Batting,Batting
CJ Chibhabha (ZIM),2016-2017,3,6,0,124.0,60,20.66,0,1,0,TEST,Batting,Batting
C Overton (ENG),2017-2019,4,8,2,124.0,41*,20.66,0,0,0,TEST,Batting,Batting
DA Reeve (ENG),1992-1992,3,5,0,124.0,59,24.8,0,1,1,TEST,Batting,Batting
RJ Crisp (SA),1935-1936,9,13,1,123.0,35,10.25,0,0,5,TEST,Batting,Batting
IB Cromb (NZ),1931-1932,5,8,2,123.0,51*,20.5,0,1,1,TEST,Batting,Batting
Manzoor Elahi (PAK),1984-1995,6,10,2,123.0,52,15.37,0,1,3,TEST,Batting,Batting
CS Martin (NZ),2000-2013,71,104,52,123.0,12*,2.36,0,0,36,TEST,Batting,Batting
BA Murphy (ZIM),2000-2001,11,15,3,123.0,30,10.25,0,0,3,TEST,Batting,Batting
Pervez Sajjad (PAK),1964-1973,19,20,11,123.0,24,13.66,0,0,2,TEST,Batting,Batting
AB Fudadin (WI),2012-2012,3,5,1,122.0,55,30.5,0,1,0,TEST,Batting,Batting
Junaid Khan (PAK),2011-2015,22,28,11,122.0,17,7.17,0,0,5,TEST,Batting,Batting
Mohammad Sharif (BDESH),2001-2007,10,20,3,122.0,24*,7.17,0,0,7,TEST,Batting,Batting
AH Omarshah (ZIM),1992-1996,3,5,0,122.0,62,24.4,0,1,0,TEST,Batting,Batting
EA Brandes (ZIM),1992-1999,10,15,3,121.0,39,10.08,0,0,2,TEST,Batting,Batting
JG Dewes (ENG),1948-1950,5,10,0,121.0,67,12.1,0,1,1,TEST,Batting,Batting
TW Wall (AUS),1929-1934,18,24,5,121.0,20,6.36,0,0,5,TEST,Batting,Batting
A Mithun (INDIA),2010-2011,4,5,0,120.0,46,24.0,0,0,1,TEST,Batting,Batting
RJ Bailey (ENG),1988-1990,4,8,0,119.0,43,14.87,0,0,2,TEST,Batting,Batting
MAR Samarasekera (SL),1988-1991,4,7,0,118.0,57,16.85,0,1,1,TEST,Batting,Batting
AC Smith (ENG),1962-1963,6,7,3,118.0,69*,29.5,0,1,0,TEST,Batting,Batting
BGK Walker (NZ),2000-2002,5,8,2,118.0,27*,19.66,0,0,1,TEST,Batting,Batting
SI de Saram (SL),1999-2000,4,5,0,117.0,39,23.4,0,0,0,TEST,Batting,Batting
Salahuddin (PAK),1965-1969,5,8,2,117.0,34*,19.5,0,0,0,TEST,Batting,Batting
PADLR Sandakan (SL),2016-2018,11,17,6,117.0,25,10.63,0,0,0,TEST,Batting,Batting
WH St Hill (WI),1928-1930,3,6,0,117.0,38,19.5,0,0,0,TEST,Batting,Batting
FJ Cameron (NZ),1961-1965,19,30,20,116.0,27*,11.6,0,0,4,TEST,Batting,Batting
W Farrimond (ENG),1931-1935,4,7,0,116.0,35,16.57,0,0,0,TEST,Batting,Batting
FM King (WI),1953-1956,14,17,3,116.0,21,8.28,0,0,4,TEST,Batting,Batting
EA McDonald (AUS),1921-1921,11,12,5,116.0,36,16.57,0,0,1,TEST,Batting,Batting
F Mitchell (ENG/SA),1899-1912,5,10,0,116.0,41,11.6,0,0,1,TEST,Batting,Batting
RP Singh (INDIA),2006-2011,14,19,3,116.0,30,7.25,0,0,7,TEST,Batting,Batting
DH Brain (ZIM),1992-1995,9,13,2,115.0,28,10.45,0,0,4,TEST,Batting,Batting
PJ Martin (ENG),1995-1997,8,13,0,115.0,29,8.84,0,0,2,TEST,Batting,Batting
H Morris (ENG),1991-1991,3,6,0,115.0,44,19.16,0,0,0,TEST,Batting,Batting
